		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	MP	QS	SV	MP_Access	QS_Access	SV_Access
							
dratio	Dependency ratio (centered) (centered) (centered) (centered) (centere (centered)	0.001	0.011	0.010	0.001	0.011	0.010
		(0.004)	(0.025)	(0.023)	(0.004)	(0.025)	(0.023)
		[0.693]	[0.663]	[0.657]	[0.693]	[0.663]	[0.657]
typsoil1	Clay soil (dummy) (centered) (centered) (centered) (centered) (center (centered)	-0.019	-0.173	-0.165*	-0.019	-0.173	-0.165*
		(0.016)	(0.109)	(0.100)	(0.016)	(0.109)	(0.100)
		[0.237]	[0.111]	[0.098]	[0.237]	[0.111]	[0.098]
typsoil2	Sandy-clay soil (dummy) (centered) (centered) (centered) (centered) ( (centered)	0.004	0.037	0.034	0.004	0.037	0.034
		(0.012)	(0.082)	(0.075)	(0.012)	(0.082)	(0.075)
		[0.768]	[0.654]	[0.651]	[0.768]	[0.654]	[0.651]
typsoil3	Silty soil (dummy) (centered) (centered) (centered) (centered) (cente (centered)	-0.008	-0.047	-0.045	-0.008	-0.047	-0.045
		(0.015)	(0.104)	(0.096)	(0.015)	(0.104)	(0.096)
		[0.608]	[0.656]	[0.641]	[0.608]	[0.656]	[0.641]
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
R-squared		0.051	0.085	0.114	0.051	0.085	0.114
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.1							
