		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	FE_MP	RE_MP	FE_QS	RE_QS	FE_SV	RE_SV
							
improvsup	Area under adoption (ha)	0.044***	0.036***	0.414***	0.370***	0.397***	0.358***
		(0.014)	(0.013)	(0.094)	(0.086)	(0.087)	(0.079)
		[0.001]	[0.005]	[0.000]	[0.000]	[0.000]	[0.000]
age	Age of household head (years)	0.002	0.001	-0.015	-0.021	-0.017	-0.022
		(0.004)	(0.004)	(0.024)	(0.024)	(0.022)	(0.022)
		[0.639]	[0.792]	[0.529]	[0.390]	[0.440]	[0.316]
sexe	Sex of household head (dummy, male=1)		-0.015		0.065		0.073
			(0.020)		(0.140)		(0.128)
			[0.465]		[0.643]		[0.566]
nbschool	Education level (Number of years)		0.001		-0.002		-0.002
			(0.001)		(0.009)		(0.008)
			[0.454]		[0.865]		[0.800]
hhsize	Household size (number of persons)	0.002***	0.002***	0.030***	0.030***	0.029***	0.029***
		(0.001)	(0.001)	(0.005)	(0.005)	(0.005)	(0.005)
		[0.001]	[0.002]	[0.000]	[0.000]	[0.000]	[0.000]
cooperative	Farmers group membership (dummy)	0.022***	0.022***	0.119***	0.120***	0.106***	0.107***
		(0.005)	(0.005)	(0.035)	(0.035)	(0.032)	(0.032)
		[0.000]	[0.000]	[0.001]	[0.001]	[0.001]	[0.001]
formagri	Training on agriculture (dummy)	-0.043***	-0.041***	-0.312***	-0.296***	-0.285***	-0.270***
		(0.012)	(0.012)	(0.078)	(0.079)	(0.072)	(0.072)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
formarrach	Training on groundnut farming (dummy)	-0.025***	-0.025***	-0.178***	-0.181***	-0.165***	-0.167***
		(0.003)	(0.003)	(0.023)	(0.023)	(0.021)	(0.021)
		[0.000]	[0.000]	[0.000]	[0.000]	[0.000]	[0.000]
visitpublic	Public agricultural extension service (number of visits)	0.002	0.003	-0.025	-0.019	-0.026*	-0.021
		(0.002)	(0.002)	(0.017)	(0.017)	(0.015)	(0.015)
		[0.387]	[0.206]	[0.133]	[0.247]	[0.091]	[0.176]
extension	Private agricultural extension service (number of visits)	0.004	0.003	0.046*	0.043*	0.043**	0.041*
		(0.003)	(0.003)	(0.024)	(0.024)	(0.022)	(0.022)
		[0.298]	[0.320]	[0.053]	[0.066]	[0.049]	[0.061]
credite	Cash credit for groundnut farming (dummy)	-0.006	-0.005	-0.144	-0.139	-0.152	-0.148
		(0.023)	(0.023)	(0.157)	(0.157)	(0.145)	(0.145)
