		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	MP_FE	MP_CRE	QS_FE	QS_CRE	SV_FE	SV_CRE
							
adopt	Adoption dummy	0.105***	0.063**	0.799***	0.557***	0.772***	0.548***
		(0.033)	(0.027)	(0.210)	(0.171)	(0.192)	(0.156)
age	Age of household head (years)	0.002	-0.001	-0.036	-0.050	-0.037	-0.050
		(0.006)	(0.006)	(0.039)	(0.035)	(0.035)	(0.032)
sexe	Sex of household head (dummy, male=1)		-0.024		0.011		0.027
			(0.024)		(0.159)		(0.145)
nbschool	Education level (Number of years)		0.001		-0.001		-0.001
			(0.002)		(0.011)		(0.010)
hhsize	Household size (number of persons)	0.003***	0.003***	0.029***	0.027***	0.027***	0.026***
		(0.001)	(0.001)	(0.008)	(0.007)	(0.007)	(0.006)
cooperative	Farmers group membership (dummy)	0.028***	0.031***	0.188***	0.202***	0.172***	0.184***
		(0.009)	(0.008)	(0.055)	(0.051)	(0.050)	(0.046)
formagri	Training on agriculture (dummy)	-0.032*	-0.040**	-0.198	-0.270**	-0.179	-0.248**
		(0.019)	(0.018)	(0.121)	(0.111)	(0.110)	(0.102)
formarrach	Training on groundnut farming (dummy)	-0.028***	-0.033***	-0.192***	-0.231***	-0.178***	-0.214***
		(0.006)	(0.005)	(0.036)	(0.033)	(0.033)	(0.030)
visitpublic	Public agricultural extension service (number of visits)	0.002	0.006	-0.028	-0.004	-0.028	-0.006
		(0.004)	(0.004)	(0.024)	(0.023)	(0.022)	(0.021)
extension	Private agricultural extension service (number of visits)	0.001	0.000	0.035	0.030	0.033	0.028
		(0.006)	(0.005)	(0.035)	(0.033)	(0.032)	(0.030)
credite	Cash credit for groundnut farming (dummy)	0.020	0.011	0.044	-0.048	0.010	-0.075
		(0.038)	(0.035)	(0.243)	(0.222)	(0.222)	(0.203)
creditn	Credit in kind for groundnut farming (dummy)	-0.068**	-0.049**	-0.168	-0.033	-0.134	-0.008
		(0.028)	(0.025)	(0.175)	(0.158)	(0.160)	(0.144)
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.003***	-0.004	-0.021***	-0.004	-0.020***
		(0.001)	(0.000)	(0.004)	(0.003)	(0.004)	(0.003)
dmvillage	Distance the nearest village market (km)	-0.006***	-0.005***	-0.026**	-0.029***	-0.023**	-0.026***
		(0.002)	(0.001)	(0.011)	(0.008)	(0.010)	(0.007)
crotation	Crop rotation (dummy)	-0.036**	-0.022	-0.188*	-0.116	-0.170*	-0.105
		(0.018)	(0.016)	(0.111)	(0.103)	(0.102)	(0.094)
cmixt	Mixed Crops (dummy)	0.012	0.019	0.146	0.163*	0.135	0.147*
		(0.015)	(0.014)	(0.094)	(0.087)	(0.086)	(0.080)
nbrhoejour	Labor force (man.day)	0.005***	0.004***	0.044***	0.036***	0.042***	0.035***
		(0.001)	(0.001)	(0.009)	(0.008)	(0.008)	(0.007)
uprice	Unit selling price (USD/kg)	0.034	0.111	0.220	0.673	1.418***	1.868***
		(0.087)	(0.076)	(0.551)	(0.484)	(0.504)	(0.442)
cseed_ha	Seed cost (USD/ha)	0.002***	0.002***	0.015***	0.015***	0.013***	0.014***
		(0.000)	(0.000)	(0.003)	(0.002)	(0.002)	(0.002)
cfert_ha	Fertilizer cost (USD/ha)	0.000	0.000	0.004**	0.004**	0.004**	0.003**
		(0.000)	(0.000)	(0.002)	(0.002)	(0.002)	(0.002)
cpest_ha	Pesticide cost (USD/ha)	-0.001	-0.001	-0.000	0.000	-0.000	0.001
		(0.001)	(0.001)	(0.006)	(0.005)	(0.005)	(0.004)
clabor_ha	Labor cost (USD/ha)	0.001***	0.001***	0.004***	0.004***	0.004***	0.004***
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
gsize	Groundnut area (ha)	0.014**	0.017***	0.272***	0.302***	0.262***	0.290***
		(0.006)	(0.005)	(0.036)	(0.034)	(0.033)	(0.031)
off_farm	Off-farm income (dummy)	-0.042	-0.040*	-0.116	-0.149	-0.088	-0.125
		(0.026)	(0.023)	(0.164)	(0.148)	(0.150)	(0.136)
dratio	Dependency ratio	-0.011*	-0.004	-0.070*	-0.026	-0.063*	-0.023
		(0.006)	(0.005)	(0.037)	(0.033)	(0.034)	(0.030)
typsoil1	Clay soil (dummy)	-0.011	-0.002	-0.146	-0.058	-0.142	-0.060
		(0.022)	(0.016)	(0.139)	(0.101)	(0.127)	(0.092)
typsoil2	Sandy-clay soil (dummy)	0.009	0.009	0.056	0.053	0.051	0.048
		(0.017)	(0.013)	(0.111)	(0.082)	(0.101)	(0.075)
typsoil3	Silty soil (dummy)	0.012	0.016	-0.019	0.056	-0.030	0.045
		(0.023)	(0.016)	(0.143)	(0.102)	(0.131)	(0.094)
Constant	Constant	0.563*	0.995***	5.388***	6.878***	4.401**	5.646***
		(0.306)	(0.098)	(1.940)	(0.643)	(1.774)	(0.587)
							
Observations		5,418	5,418	5,418	5,418	5,418	5,418
R-squared		0.115		0.149		0.174	
Number of id		2,555	2,555	2,555	2,555	2,555	2,555
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
