		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	FE_MP	RE_MP	FE_QS	RE_QS	FE_SV	RE_SV
							
adopt	Adoption dummy	0.064***	0.053***	0.594***	0.544***	0.570***	0.526***
		(0.020)	(0.018)	(0.134)	(0.120)	(0.124)	(0.110)
age	Age of household head (years)	0.002	-0.001*	-0.011	-0.006**	-0.013	-0.005**
		(0.003)	(0.000)	(0.024)	(0.003)	(0.022)	(0.003)
sexe	Sex of household head (dummy, male=1)		-0.011		0.115		0.121
			(0.020)		(0.137)		(0.126)
nbschool	Education level (Number of years)		0.001		-0.005		-0.006
			(0.001)		(0.009)		(0.008)
hhsize	Household size (number of persons)	0.002***	0.001*	0.027***	0.020***	0.026***	0.019***
		(0.001)	(0.001)	(0.005)	(0.004)	(0.004)	(0.004)
cooperative	Farmers group membership (dummy)	0.022***	0.023***	0.124***	0.132***	0.111***	0.119***
		(0.005)	(0.004)	(0.035)	(0.028)	(0.032)	(0.026)
formagri	Training on agriculture (dummy)	-0.043***	-0.052***	-0.314***	-0.318***	-0.287***	-0.285***
		(0.011)	(0.009)	(0.078)	(0.065)	(0.072)	(0.059)
formarrach	Training on groundnut farming (dummy)	-0.025***	-0.023***	-0.176***	-0.166***	-0.162***	-0.153***
		(0.003)	(0.003)	(0.023)	(0.021)	(0.021)	(0.019)
visitpublic	Public agricultural extension service (number of visits)	0.002	0.002	-0.024	-0.020	-0.025	-0.021
		(0.002)	(0.002)	(0.016)	(0.014)	(0.015)	(0.013)
extension	Private agricultural extension service (number of visits)	0.003	0.004	0.045*	0.026	0.042*	0.021
		(0.003)	(0.003)	(0.024)	(0.020)	(0.022)	(0.019)
credite	Cash credit for groundnut farming (dummy)	-0.010	0.000	-0.186	-0.076	-0.193	-0.083
		(0.023)	(0.020)	(0.156)	(0.136)	(0.144)	(0.125)
creditn	Credit in kind for groundnut farming (dummy)	-0.044***	-0.026*	-0.046	-0.019	-0.022	-0.006
		(0.016)	(0.014)	(0.109)	(0.094)	(0.100)	(0.086)
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.001***	-0.003	-0.009***	-0.003	-0.008***
		(0.000)	(0.000)	(0.002)	(0.002)	(0.002)	(0.002)
dmvillage	Distance the nearest village market (km)	-0.003***	-0.003***	-0.013**	-0.017***	-0.011*	-0.015***
		(0.001)	(0.001)	(0.006)	(0.005)	(0.006)	(0.005)
crotation	Crop rotation (dummy)	-0.023**	-0.005	-0.144**	-0.016	-0.135**	-0.014
		(0.011)	(0.009)	(0.072)	(0.061)	(0.066)	(0.056)
cmixt	Mixed Crops (dummy)	0.004	0.003	-0.063	-0.079	-0.066	-0.080*
		(0.009)	(0.007)	(0.061)	(0.050)	(0.056)	(0.046)
nbrhoejour	Labor force (man.day)	0.002***	0.002***	0.027***	0.026***	0.026***	0.025***
		(0.001)	(0.001)	(0.005)	(0.004)	(0.004)	(0.004)
uprice	Unit selling price (USD/kg)	0.009	0.012	-0.134	-0.180	1.301***	1.249***
		(0.054)	(0.050)	(0.365)	(0.338)	(0.336)	(0.311)
cseed_ha	Seed cost (USD/ha)	0.002***	0.002***	0.011***	0.010***	0.010***	0.009***
		(0.000)	(0.000)	(0.002)	(0.001)	(0.001)	(0.001)
cfert_ha	Fertilizer cost (USD/ha)	0.000	0.000	0.001	0.001	0.001	0.001
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
cpest_ha	Pesticide cost (USD/ha)	-0.001***	-0.001**	-0.005	-0.002	-0.004	-0.001
		(0.000)	(0.000)	(0.003)	(0.003)	(0.003)	(0.002)
clabor_ha	Labor cost (USD/ha)	0.000***	0.000***	0.002***	0.002***	0.002***	0.002***
		(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)
gsize	Groundnut area (ha)	0.003	0.013***	0.198***	0.282***	0.195***	0.274***
		(0.003)	(0.003)	(0.023)	(0.019)	(0.021)	(0.017)
off_farm	Off-farm income (dummy)	-0.020	-0.027**	-0.035	-0.101	-0.024	-0.088
		(0.014)	(0.012)	(0.098)	(0.083)	(0.090)	(0.076)
dratio	Dependency ratio	0.002	0.001	0.013	0.003	0.012	0.003
		(0.003)	(0.003)	(0.022)	(0.018)	(0.020)	(0.016)
typsoil1	Clay soil (dummy)	-0.016	-0.012	-0.161*	-0.120	-0.155*	-0.116*
		(0.013)	(0.011)	(0.087)	(0.073)	(0.080)	(0.068)
typsoil2	Sandy-clay soil (dummy)	0.006	0.006	0.052	0.036	0.048	0.032
		(0.010)	(0.009)	(0.068)	(0.059)	(0.063)	(0.054)
typsoil3	Silty soil (dummy)	-0.004	0.002	-0.032	0.010	-0.033	0.007
		(0.013)	(0.011)	(0.087)	(0.073)	(0.080)	(0.067)
Constant	Constant	0.841***	0.987***	6.998***	7.194***	5.742***	5.831***
		(0.183)	(0.053)	(1.244)	(0.361)	(1.144)	(0.331)
							
Observations		8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868
District FE		YES	YES	YES	YES	YES	YES
Year FE		YES	YES	YES	YES	YES	YES
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
